station_id,street_name,station_lat,station_lon,borough
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,Brooklyn
3044,Albany Ave & Fulton St,40.6800105,-73.938475,Brooklyn
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,Brooklyn
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,Brooklyn
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,Brooklyn
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,Brooklyn
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,Brooklyn
3052,Lewis Ave & Madison St,40.686312,-73.935775,Brooklyn
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,Brooklyn
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,Brooklyn
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,Brooklyn
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,Brooklyn
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,Brooklyn
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,Brooklyn
3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,Brooklyn
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,Brooklyn
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,Brooklyn
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,Brooklyn
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,Brooklyn
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Brooklyn
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,Brooklyn
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,Brooklyn
3067,Broadway & Whipple St,40.7016657,-73.9437303,Brooklyn
3068,Humboldt St & Varet St,40.7031724,-73.940636,Brooklyn
3069,Lorimer St & Broadway,40.70411791,-73.94818595,Brooklyn
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,Brooklyn
3071,Boerum St & Broadway,40.70538077,-73.94976519,Brooklyn
3072,Leonard St & Boerum St,40.70583339,-73.94644578,Brooklyn
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,Brooklyn
3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,Brooklyn
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,Brooklyn
3077,Stagg St & Union Ave,40.70877084,-73.95095259,Brooklyn
3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,Brooklyn
3080,S 4 St & Rodney St,40.70934,-73.95608,Brooklyn
3081,Graham Ave & Grand St,40.711863,-73.944024,Brooklyn
3082,Hope St & Union Ave,40.71167351,-73.95141312,Brooklyn
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,Brooklyn
3085,Roebling St & N 4 St,40.71469,-73.95739,Brooklyn
3086,Graham Ave & Conselyea St,40.715143,-73.944507,Brooklyn
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,Brooklyn
3088,Union Ave & Jackson St,40.7160751,-73.952029,Brooklyn
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,Brooklyn
3094,Graham Ave & Withers St,40.7169811,-73.94485918,Brooklyn
3095,Graham Ave & Herbert St,40.71929301,-73.94500379,Brooklyn
3096,Union Ave & N 12 St,40.71924,-73.95242,Brooklyn
3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,Brooklyn
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,Brooklyn
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Brooklyn
3105,N 15 St & Wythe Ave,40.724055,-73.955736,Brooklyn
3106,Driggs Ave & N Henry St,40.72325,-73.94308,Brooklyn
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Brooklyn
3108,Nassau Ave & Russell St,40.72557,-73.94434,Brooklyn
3109,Banker St & Meserole Ave,40.72606,-73.95621,Brooklyn
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,Brooklyn
3112,Milton St & Franklin St,40.72906,-73.95779,Brooklyn
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,Brooklyn
3115,India St & Manhattan Ave,40.73232194,-73.9550858,Brooklyn
3116,Huron St & Franklin St,40.73266,-73.95826,Brooklyn
3117,Franklin St & Dupont St,40.73564,-73.95866,Brooklyn
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,Brooklyn
3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,Queens
3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,Queens
3122,48 Ave & 5 St,40.744363287066875,-73.9558732509613,Queens
3123,31 St & Thomson Ave,40.74469738,-73.93540375,Queens
3124,46 Ave & 5 St,40.74731,-73.95451,Queens
3125,45 Rd & 11 St,40.74708586,-73.94977234,Queens
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,Queens
3127,9 St & 44 Rd,40.74966,-73.9521,Queens
3128,21 St & 43 Ave,40.75052534,-73.94594845,Queens
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,Queens
3130,21 St & Queens Plaza North,40.75325964,-73.94335788,Queens
3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,Manhattan
3134,3 Ave & E 62 St,40.76312584,-73.96526895,Manhattan
3135,E 75 St & 3 Ave,40.77112927,-73.95772297,Manhattan
